Target_ID,baseMean,log2FoldChange,lfcSE,pvalue,padj
TMUE_1000005798.2,926.301897310174,-1.17210660248044,0.43954250499512,0.00175666429452294,0.00691721712231378
TMUE_1000005803.1,118.919133453744,-3.02027148444886,0.558215069905983,4.93548653405602e-09,5.32187222967565e-08
TMUE_1000005814.1,2076.7577977287,-3.32574487224123,0.248633806645685,6.20338014809161e-42,4.59251166426541e-40
TMUE_1000005824.1,55.6639082411299,-1.48859249545257,0.46788439462877,0.000257487658572034,0.00124961612996219
TMUE_1000005856.1,680.635580421799,-1.12492088520896,0.190414459078346,9.62928351921235e-10,1.12642189287289e-08
TMUE_1000005862.1,7344.93092684159,-5.36557527099571,0.215150947428057,3.21170398026276e-138,2.85324213046565e-135
TMUE_1000005869.1,1041.64283407116,-1.18587564925174,0.129314741518416,1.42377245470203e-20,4.20841872886141e-19
TMUE_1000005881.1,537.514075783943,-4.69361305799702,1.25923419491914,9.05962489197425e-06,5.94470503272713e-05
TMUE_1000005882.1,719.189674317051,-4.01223432095075,0.696857748007326,6.18730916361871e-10,7.43360336855198e-09
TMUE_1000005886.1,328.994284375829,-1.88402229319778,0.277596722095683,1.33281914303042e-12,2.17925469490792e-11
TMUE_1000005894.1,308.126275877811,-1.28253163716798,0.223743679245063,2.48427099148425e-09,2.77029131274928e-08
TMUE_1000005920.2,658.953160595307,-1.40787297035694,0.288881483094777,2.18676763921549e-07,1.88306953789418e-06
TMUE_1000005930.1,570.185923701529,-1.36451081987255,0.187074061093003,6.74025988319073e-14,1.23181138048118e-12
TMUE_1000005939.1,335.598655017815,-1.04685628323127,0.247906849737627,7.77321751868869e-06,5.17923005588962e-05
TMUE_1000005947.1,18428.8765348416,-5.71007646553552,0.558419976468881,1.09418464051339e-25,4.28850651628669e-24
TMUE_1000005956.1,76.486928955494,-1.21761830521187,0.342213813323402,8.00861065352997e-05,0.000437084276316033
TMUE_1000005977.1,40.2957383496099,-1.4224219576687,0.543581048071331,0.00145261022978247,0.00583488826537338
TMUE_1000005983.1,4264.70756696902,-1.08112632576309,0.263341991513646,1.18806396299897e-05,7.65752955756409e-05
TMUE_1000005992.1,4442.69745434242,-1.95487696677805,0.136881446192161,3.98701694932098e-47,3.64322217351953e-45
TMUE_1000005997.1,5881.17487509943,-2.76328505858672,0.255166988948235,2.20242842602222e-28,9.97706316162079e-27
TMUE_1000006002.1,858.29063644766,-1.25080363431825,0.202301173008063,1.54853023219508e-10,2.00831686480386e-09
TMUE_2000006041.1,169.845747309969,-3.46890071753408,0.703789919423275,7.12115853816192e-08,6.52949806099468e-07
TMUE_2000006073.1,26.4480628436506,-1.63211948372553,0.576425310245801,0.000649042516959584,0.00286076044341254
TMUE_2000006080.1,147.390574246232,-1.36428287784399,0.27263481143387,1.1938725456963e-07,1.06595286868953e-06
TMUE_2000006090.1,27.8466235596448,-2.32712677212034,1.05908417253962,0.0018011601680006,0.00706113072971259
TMUE_2000006100.1,176.833403937234,-1.2744542082367,0.441562621659025,0.000826756258235052,0.00353493564851249
TMUE_2000006110.1,384.702777305956,-2.45123992788291,0.477654979844691,2.54104245629169e-08,2.47616148193543e-07
TMUE_2000006112.1,383.783317107857,-1.10596806477478,0.154622921884061,2.6640957025624e-13,4.61555302054988e-12
TMUE_2000006115.1,858.521257765597,-3.26481477956748,0.189174571427744,4.34183423494583e-68,6.94302712510188e-66
TMUE_2000006142.1,3812.3581774072,-1.84416491320797,0.077460587024248,2.03432165893313e-126,1.30123350591999e-123
TMUE_2000006179.1,37.6148800627051,-2.85783390765632,0.480008733137755,2.71459790083125e-10,3.37551594340533e-09
TMUE_2000006206.1,99.260473906426,-1.56385327442771,0.360536962645086,2.38110754603326e-06,1.72368903434214e-05
TMUE_2000006228.1,98.6069351702369,-1.28483414279357,0.481682980650554,0.00146114458773194,0.00586738443785821
TMUE_2000006242.1,228.603104326236,-1.45204297927039,0.321329440699722,1.12855193294968e-06,8.66378970705636e-06
TMUE_2000006243.1,1154.68852114867,-2.49315897608853,0.236262726565804,4.07856272603636e-27,1.72540467068909e-25
TMUE_2000006257.1,196.817183701981,-2.45421107025112,0.562029005607638,9.77997838526511e-07,7.55150334904753e-06
TMUE_2000006265.1,105.208576991689,-2.50374234680873,0.936878041854281,0.000514285341328831,0.00232248994441947
TMUE_2000006266.1,10.514213624008,-2.939200264361,1.26201166597945,0.0012690697422962,0.00518225082968807
TMUE_2000006287.1,1814.76185590309,-1.17826821957666,0.301968265826096,2.26396899306178e-05,0.000138656178353316
TMUE_2000006302.1,2197.27033733737,-1.17489932359438,0.108468428033761,7.25089573539959e-28,3.22080760291041e-26
TMUE_2000006304.1,451.677183354848,-2.14257015643329,0.723771081192159,0.000259918550062485,0.00125950228304521
TMUE_2000006326.1,139.407184357236,-1.66668175280272,0.34739872993082,2.67576204665703e-07,2.26392121101019e-06
TMUE_2000006350.1,1362.4663500831,-2.84812787661457,0.289945249989321,7.89097094058111e-24,2.78553016138703e-22
TMUE_2000006352.1,502.235246323457,-2.20757356192048,0.688092795518854,0.000113621841551069,0.000599137593159665
TMUE_2000006359.1,38009.5982616768,-4.93256607837036,0.237847822665806,5.40663295685814e-97,1.76443811455344e-94
